Range,BevolkingOpDeEersteVanDeMaand,per 100k
0-9,1768001,0.05656105398130431
10-19,1988652,0.0502853188994354
20-29,2310274,0.04328490906273455
30-39,2276633,0.043924514842752435
40-49,2125958,0.04703761786451097
50-59,2546552,0.03926878383005727
60-69,2204331,0.04536523779777175
70-79,1690099,0.05916813157099081
80-89,735036,0.1360477582050403
90+,136131,0.7345865379671053
