Range,BevolkingOpDeEersteVanDeMaand,per 100k
0-9,1,0.05685882295413426
10-19,1,0.050494824028063004
20-29,2,0.04410999267774122
30-39,2,0.045076903451132806
40-49,2,0.046830357498266105
50-59,2,0.03921631681136834
60-69,2,0.04599782154317172
70-79,1,0.060543938855465274
80-89,7,0.13871260828252985
90+,1,0.7428868583314762
