RegioCode,Landcode,Naam,GGD regio,Veiligheidsregio,Veiligheidsregio Code,Provincie,Landsdeel,Schoolregio,Opp land km2,Type
GM0457,NL,Weesp,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,23,Gemeente
GM1960,NL,West Betuwe,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Midden,216,Gemeente
GM0668,NL,West Maas en Waal,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,77,Gemeente
GM1969,NL,Westerkwartier,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,363,Gemeente
GM1701,NL,Westerveld,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,278,Gemeente
GM0293,NL,Westervoort,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,7,Gemeente
GM1950,NL,Westerwolde,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,276,Gemeente
GM1783,NL,Westland,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,81,Gemeente
GM0098,NL,Weststellingwerf,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,220,Gemeente
GM0614,NL,Westvoorne,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,53,Gemeente
GM0189,NL,Wierden,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,95,Gemeente
GM0296,NL,Wijchen,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,66,Gemeente
GM1696,NL,Wijdemeren,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,48,Gemeente
GM0352,NL,Wijk bij Duurstede,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,48,Gemeente
GM0294,NL,Winterswijk,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,138,Gemeente
GM0873,NL,Woensdrecht,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,92,Gemeente
GM0632,NL,Woerden,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,89,Gemeente
GM0880,NL,Wormerland,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,39,Gemeente
GM0351,NL,Woudenberg,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,37,Gemeente
GM0479,NL,Zaanstad,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,74,Gemeente
GM0297,NL,Zaltbommel,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,79,Gemeente
GM0473,NL,Zandvoort,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,32,Gemeente
GM0050,NL,Zeewolde,GGD Flevoland,Flevoland,VR25      ,Flevoland,Oost-Nederland,Midden,247,Gemeente
GM0355,NL,Zeist,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,49,Gemeente
GM0299,NL,Zevenaar,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,93,Gemeente
GM0637,NL,Zoetermeer,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,34,Gemeente
GM0638,NL,Zoeterwoude,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,21,Gemeente
GM1892,NL,Zuidplas,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,58,Gemeente
GM0879,NL,Zundert,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,121,Gemeente
GM0301,NL,Zutphen,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,41,Gemeente
GM1896,NL,Zwartewaterland,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,82,Gemeente
GM0642,NL,Zwijndrecht,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,20,Gemeente
GM0193,NL,Zwolle,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,111,Gemeente
