RegioCode,Landcode,Naam,GGD regio,Veiligheidsregio,Veiligheidsregio Code,Provincie,Landsdeel,Schoolregio,Opp land km2,Type
GM1655,NL,Halderberge,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,74,Gemeente
GM0160,NL,Hardenberg,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,312,Gemeente
GM0243,NL,Harderwijk,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,39,Gemeente
GM0523,NL,Hardinxveld-Giessendam,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,17,Gemeente
GM0072,NL,Harlingen,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,25,Gemeente
GM0244,NL,Hattem,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Noord,23,Gemeente
GM0396,NL,Heemskerk,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,27,Gemeente
GM0397,NL,Heemstede,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,9,Gemeente
GM0246,NL,Heerde,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,79,Gemeente
GM0074,NL,Heerenveen,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,190,Gemeente
